carnet,nombres,apellidos,sexo,fecha_nac,profesion,celular,direccion
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
C002,Ana,Gómez,F,1992-11-22,Abogada,79876543,Avenida Siempre Viva 742
C001,Juan,Pérez,M,1980-05-10,Ingeniero,71234567,Calle Falsa 123
